id;nazwa_wojewodztwa;kod_rynku;kod_branzy;liczba_pracownikow;zrodlo_rejestr;data_rejestracji;data_ostatnie_zamowienie;obecnosc_w_internecie;jakosc_strony_www;allegro;srednia_liczba_odslon;hurt;target_wartosc_sprzedazy
33743;lubelskie;LBW;437;101-250 osób;KRS;2010-04-28;2020-06-19;ma stronê www;83;TAK;2 084;1;41688
80697;œl¹skie;KTW;1387;;CEIDG;2019-10-01;2020-07-31;ma stronê www;99;NIE;2 075;1;41500
55259;œl¹skie;KTW;5;;CEIDG;2013-02-22;2020-05-14;ma stronê www;95;NIE;2 061;1;41220
8544;œl¹skie;TYW;755;11-20 osób;KRS;1993-09-01;2020-01-08;ma stronê www;89;TAK;2 033;1;40661
83308;³ódzkie;LDW;1387;;CEIDG;2020-09-02;2020-09-17;ma stronê www;78;NIE;2 026;0;40512
10783;wielkopolskie;POW;1433;51-100 osób;KRS;2003-02-25;2019-04-15;ma stronê www;92;NIE;2 025;1;40500
46334;pomorskie;GDW;5;21-50 osób;KRS;2014-07-01;2019-11-29;ma stronê www;75;NIE;2 015;0;40296
61143;œl¹skie;GLW;1386;51-100 osób;CEIDG;2015-05-04;2020-02-19;ma stronê www;97;NIE;2 009;0;40179,6
6925;œl¹skie;KTW;755;2-5 osób;CEIDG;1996-12-04;2020-04-22;ma stronê www;100;NIE;2 008;0;40164
1014;zachodniopomorskie;KSW;10001;11-20 osób;CEIDG;1994-02-25;2020-09-03;ma stronê www;94;NIE;1 993;0;39860
41052;ma³opolskie;KRW;98;11-20 osób;CEIDG;2004-03-05;2018-09-12;ma stronê www;83;NIE;1 993;1;39860
22491;lubelskie;LBW;652;6-10 osób;CEIDG;2008-06-13;2020-10-08;ma stronê www;81;NIE;1 990;0;39800
10643;lubelskie;LBW;755;1 osoba;CEIDG;1996-12-01;2020-08-19;ma stronê www;72;NIE;786;1;39308
63555;œl¹skie;RBW;1386;21-50 osób;KRS;2016-08-26;2020-09-17;ma stronê www;77;NIE;1 951;0;39012
54124;ma³opolskie;KRW;1387;101-250 osób;KRS;2013-01-02;2020-08-31;e-commerce;98;NIE;1 937;0;38736
21868;warmiñsko-mazurskie;OLW;755;6-10 osób;CEIDG;2006-01-15;2020-06-25;ma stronê www;85;NIE;1 933;0;38668
43618;ma³opolskie;KRW;1387;;CEIDG;2009-09-24;2019-07-31;ma stronê www;94;NIE;1 906;1;38112
73504;ma³opolskie;KRW;1387;;KRS;2018-10-25;2020-03-17;ma stronê www;96;NIE;1 891;0;37824
79700;mazowieckie;PAW;1386;51-100 osób;CEIDG;2019-07-11;2019-11-05;ma stronê www;88;NIE;1 888;0;37764
80901;mazowieckie;WAW;652;;KRS;2019-01-14;2019-10-01;ma stronê www;95;NIE;1 884;0;37680
49358;mazowieckie;PAW;1387;51-100 osób;CEIDG;2013-04-16;2020-07-09;ma stronê www;100;NIE;1 878;1;37560
81124;œl¹skie;BBW;1386;;CEIDG;2019-11-18;2019-12-16;nie ma strony www;;TAK;;1;37560
81672;mazowieckie;WAW;755;;CEIDG;2020-01-22;2020-03-03;e-commerce;73;TAK;1 878;0;37560
6407;wielkopolskie;POW;10001;2-5 osób;KRS;1998-12-01;2019-04-19;ma stronê www;76;NIE;1 848;0;36960
58937;ma³opolskie;KRW;755;;CEIDG;2015-11-05;2020-08-31;ma stronê www;75;NIE;1 842;0;36840
59630;ma³opolskie;KRW;1387;21-50 osób;KRS;2017-03-14;2020-07-31;e-commerce;73;NIE;1 836;0;36720
63527;ma³opolskie;NSW;526;6-10 osób;KRS;2007-09-10;2020-09-03;ma stronê www;96;NIE;1 827;0;36540
51615;ma³opolskie;KRW;526;6-10 osób;KRS;1994-06-25;2018-02-02;ma stronê www;82;TAK;1 813;0;36264
38780;œl¹skie;GLW;1433;21-50 osób;CEIDG;2012-09-13;2020-03-03;e-commerce;93;NIE;1 805;1;36098
24252;kujawsko-pomorskie;TOW;1386;101-250 osób;KRS;1995-01-01;2020-03-17;ma stronê www;92;NIE;3 600;1;36000
81715;ma³opolskie;KRW;1387;;KRS;2016-12-01;2020-01-14;ma stronê www;73;NIE;1 800;0;36000
35311;zachodniopomorskie;SZW;848;;CEIDG;2012-01-30;2019-04-19;ma stronê www;100;NIE;1 797;0;35940
50710;œl¹skie;RBW;907;;CEIDG;2015-11-10;2020-06-26;ma stronê www;92;NIE;1 783;0;35660
79071;œl¹skie;KTW;1387;51-100 osób;KRS;2019-05-21;2019-07-01;ma stronê www;98;NIE;1 764;0;35280
81724;³ódzkie;LDW;1386;;CEIDG;2020-02-17;2020-03-25;ma stronê www;85;NIE;1 752;0;35040
82344;wielkopolskie;PIW;526;;CEIDG;2019-04-02;2020-08-07;ma stronê www;85;NIE;1 717;1;34332
41541;lubelskie;ZMW;1387;101-250 osób;CEIDG;2014-02-27;2020-04-22;ma stronê www;84;NIE;1 678;0;33552
53850;pomorskie;GDW;1387;;CEIDG;2015-04-07;2020-08-27;ma stronê www;79;NIE;1 677;0;33544
35468;œl¹skie;DGW;1387;;CEIDG;2012-02-24;2020-09-17;ma stronê www;77;TAK;1 670;0;33408
4604;³ódzkie;LDW;1433;6-10 osób;KRS;2003-05-23;2019-07-11;ma stronê www;82;NIE;1 665;0;33300
82311;pomorskie;GDW;1387;21-50 osób;CEIDG;2020-04-01;2020-06-05;ma stronê www;70;NIE;1 661;1;33216
41557;ma³opolskie;KRW;1387;101-250 osób;KRS;2014-01-14;2018-06-27;ma stronê www;71;NIE;1 646;0;32927
40883;dolnoœl¹skie;LGW;5;;CEIDG;2013-09-04;2020-10-21;ma stronê www;92;TAK;1 643;0;32850
53601;œl¹skie;KTW;5;;CEIDG;2016-08-16;2019-03-29;e-commerce;82;TAK;1 606;1;32112
68683;œl¹skie;BBW;1433;6-10 osób;KRS;1996-04-29;2019-12-18;ma stronê www;99;NIE;1 598;1;31968
15740;mazowieckie;RDW;1574;6-10 osób;CEIDG;1997-01-16;2020-08-19;ma stronê www;89;NIE;1 598;1;31956
48618;pomorskie;GDW;1171;21-50 osób;CEIDG;2015-11-02;2020-10-21;ma stronê www;81;NIE;1 591;1;31812
33668;mazowieckie;GAW;907;2-5 osób;CEIDG;2011-06-21;2019-04-24;ma stronê www;92;NIE;1 585;0;31700
30280;œl¹skie;KTW;848;21-50 osób;KRS;2007-09-26;2019-01-07;ma stronê www;95;NIE;1 584;1;31680
38538;mazowieckie;WAW;907;;CEIDG;2013-05-08;2020-06-05;ma stronê www;86;NIE;1 579;0;31572
78578;œl¹skie;BBW;10001;;CEIDG;2017-07-10;2019-04-05;ma stronê www;99;TAK;1 577;1;31530
82269;zachodniopomorskie;SZW;5;;CEIDG;2020-03-27;2020-10-13;ma stronê www;92;NIE;1 575;1;31500
34418;mazowieckie;WAW;1433;2-5 osób;KRS;2011-11-29;2019-10-10;e-commerce;88;NIE;1 565;1;31290
32157;œl¹skie;KTW;755;1 osoba;CEIDG;2011-05-31;2020-07-20;ma stronê www;81;NIE;624;0;31200
10457;pomorskie;GDW;10001;6-10 osób;CEIDG;2003-10-07;2020-01-09;ma stronê www;92;NIE;1 558;0;31169
6809;œl¹skie;GLW;10001;101-250 osób;KRS;1995-04-10;2020-07-14;ma stronê www;94;NIE;3 116;1;31158,4
43553;mazowieckie;WAW;652;;CEIDG;2015-04-01;2020-09-23;ma stronê www;83;NIE;1 530;0;30600
73317;œl¹skie;DGW;848;6-10 osób;KRS;1994-12-06;2020-04-21;ma stronê www;77;NIE;1 515;0;30300
78726;mazowieckie;WAW;411;;CEIDG;2019-05-02;2020-01-22;ma stronê www;95;TAK;1 511;1;30228
79753;lubelskie;LBW;1574;101-250 osób;KRS;2019-07-17;2020-10-14;ma stronê www;77;NIE;1 507;0;30144
68389;lubuskie;ZGW;10001;;CEIDG;2015-11-15;2020-01-16;ma stronê www;81;NIE;1 503;1;30060
16444;lubelskie;LBW;1574;6-10 osób;CEIDG;1993-01-01;2020-10-01;ma stronê www;81;NIE;1 500;0;30000
33998;³ódzkie;LDW;848;21-50 osób;KRS;2010-08-02;2020-06-23;ma stronê www;72;NIE;1 500;0;30000
10572;dolnoœl¹skie;WRW;755;2-5 osób;CEIDG;1991-10-25;2020-07-31;ma stronê www;88;TAK;1 487;0;29730
34900;mazowieckie;WAW;1433;;CEIDG;2011-09-21;2019-09-23;ma stronê www;73;NIE;1 483;1;29664
57453;kujawsko-pomorskie;BDW;10001;2-5 osób;CEIDG;1995-11-01;2019-08-09;ma stronê www;71;NIE;1 477;1;29540
30411;zachodniopomorskie;SZW;5;2-5 osób;CEIDG;2010-12-08;2020-01-22;ma stronê www;93;NIE;1 472;0;29437
66341;wielkopolskie;PIW;1433;2-5 osób;KRS;2011-10-31;2018-01-17;ma stronê www;77;NIE;1 469;0;29376
78833;opolskie;OPW;98;;CEIDG;2019-05-02;2019-11-27;ma stronê www;88;TAK;1 465;0;29292
73857;pomorskie;SLW;907;6-10 osób;KRS;2005-02-25;2019-08-30;ma stronê www;94;NIE;1 459;1;29181,6
40085;œl¹skie;KTW;755;21-50 osób;KRS;1992-12-01;2020-08-18;ma stronê www;99;NIE;1 458;1;29160
20225;zachodniopomorskie;SZW;907;6-10 osób;CEIDG;1992-01-01;2018-11-28;ma stronê www;88;NIE;1 455;1;29100
40759;dolnoœl¹skie;WRW;5;;CEIDG;2014-02-18;2020-09-24;ma stronê www;100;NIE;1 452;0;29046
71418;mazowieckie;LNW;411;21-50 osób;CEIDG;2018-07-11;2020-01-29;ma stronê www;77;NIE;1 449;1;28980
29522;mazowieckie;WAW;1171;6-10 osób;CEIDG;2005-11-25;2020-01-08;ma stronê www;85;TAK;1 442;0;28848
50597;œl¹skie;CZW;848;2-5 osób;KRS;1986-12-01;2020-04-06;ma stronê www;73;NIE;1 440;0;28800
45653;œl¹skie;TYW;968;;CEIDG;2011-06-13;2019-04-15;ma stronê www;76;NIE;1 435;1;28690
44168;³ódzkie;PTW;755;;KRS;2015-03-23;2020-10-23;ma stronê www;93;NIE;1 414;1;28278
55366;pomorskie;GDW;5;101-250 osób;KRS;2013-08-02;2020-06-30;ma stronê www;81;NIE;1 410;0;28200
34007;ma³opolskie;KRW;1386;;CEIDG;2010-10-29;2019-11-25;ma stronê www;79;NIE;1 408;0;28152
67692;œl¹skie;DGW;1387;51-100 osób;CEIDG;2018-02-20;2020-10-01;ma stronê www;99;NIE;1 407;0;28140
24952;wielkopolskie;POW;848;21-50 osób;KRS;1996-04-15;2020-10-21;ma stronê www;76;NIE;1 394;0;27872
30675;podlaskie;LMW;10001;1 osoba;CEIDG;2006-03-17;2020-06-01;ma stronê www;74;NIE;557;1;27850
30334;podlaskie;SUW;5;;CEIDG;2010-07-23;2020-10-14;ma stronê www;96;NIE;1 376;1;27520
27088;zachodniopomorskie;SZW;10001;6-10 osób;CEIDG;1946-01-01;2020-09-24;ma stronê www;71;TAK;1 370;1;27400
58718;lubelskie;LBW;1387;;CEIDG;2016-12-20;2019-01-31;ma stronê www;88;NIE;1 370;0;27400
52946;ma³opolskie;KRW;1574;;CEIDG;2016-07-20;2018-06-15;ma stronê www;95;NIE;1 367;0;27336
52033;œl¹skie;CZW;1387;51-100 osób;CEIDG;2016-04-01;2018-08-27;ma stronê www;86;NIE;1 367;1;27336
48284;zachodniopomorskie;SZW;437;;CEIDG;1992-08-10;2019-09-11;ma stronê www;90;NIE;1 366;0;27328
43749;wielkopolskie;POW;522;101-250 osób;KRS;2013-01-21;2020-04-07;ma stronê www;85;NIE;2 732;0;27324
81234;ma³opolskie;KRW;755;;CEIDG;2019-07-01;2019-12-10;ma stronê www;77;TAK;1 364;1;27288
9181;mazowieckie;WAW;10001;101-250 osób;KRS;1990-12-01;2019-10-09;ma stronê www;78;NIE;2 700;1;27000
54965;ma³opolskie;KRW;5;;CEIDG;2013-03-01;2020-05-28;ma stronê www;70;NIE;1 350;0;27000
80765;lubelskie;LBW;5;;CEIDG;2017-09-06;2020-01-14;ma stronê www;80;NIE;1 349;1;26970
16711;ma³opolskie;KRW;755;6-10 osób;CEIDG;2002-11-06;2020-07-03;ma stronê www;81;NIE;1 338;1;26752
16102;dolnoœl¹skie;WRW;907;2-5 osób;CEIDG;2004-10-14;2019-11-15;ma stronê www;85;NIE;1 335;1;26700
58056;lubuskie;GWW;755;;KRS;2002-02-15;2019-09-11;ma stronê www;84;NIE;1 324;1;26480
78864;³ódzkie;PTW;526;;CEIDG;2019-05-10;2020-02-06;ma stronê www;72;TAK;1 321;1;26424
57564;³ódzkie;LDW;5;1 osoba;CEIDG;1989-12-01;2019-06-27;ma stronê www;87;NIE;528;1;26400
55738;ma³opolskie;KRW;755;;CEIDG;2016-10-13;2020-09-10;ma stronê www;80;TAK;1 320;1;26400
42526;zachodniopomorskie;SZW;907;;CEIDG;2015-01-05;2020-04-06;ma stronê www;72;NIE;1 320;1;26400
40466;pomorskie;GDW;1386;11-20 osób;KRS;2007-03-01;2019-12-19;ma stronê www;98;TAK;1 311;0;26210
51275;œl¹skie;GLW;526;;CEIDG;2016-01-04;2019-07-15;ma stronê www;99;NIE;1 305;0;26100
18179;lubelskie;LBW;98;101-250 osób;KRS;2005-04-18;2020-10-14;ma stronê www;99;NIE;1 305;0;26098
29306;œl¹skie;CZW;755;;CEIDG;2008-07-01;2019-02-01;e-commerce;98;NIE;1 302;1;26031
7643;zachodniopomorskie;SZW;10001;11-20 osób;KRS;1994-04-14;2020-10-19;ma stronê www;98;NIE;1 300;0;25996
53627;zachodniopomorskie;SZW;10001;6-10 osób;CEIDG;2001-06-08;2019-12-05;ma stronê www;75;NIE;1 294;0;25884
3235;zachodniopomorskie;KSW;10001;2-5 osób;CEIDG;1992-01-01;2020-10-02;ma stronê www;78;NIE;1 294;0;25871
81421;opolskie;OPW;526;1 osoba;CEIDG;2020-01-02;2020-05-22;ma stronê www;88;TAK;517;0;25840
24135;œl¹skie;RBW;755;21-50 osób;CEIDG;2009-05-24;2020-10-07;ma stronê www;97;NIE;1 285;0;25706
38537;mazowieckie;WAW;1433;;CEIDG;2012-08-07;2020-09-28;e-commerce;71;NIE;1 283;1;25662
19801;dolnoœl¹skie;LGW;5;51-100 osób;CEIDG;2005-08-01;2020-03-09;ma stronê www;94;NIE;1 283;0;25659,2
60627;lubuskie;GWW;1574;;CEIDG;2017-01-01;2020-08-31;ma stronê www;95;NIE;1 277;1;25536
42637;œl¹skie;GLW;1386;21-50 osób;KRS;2007-12-13;2020-08-10;ma stronê www;85;NIE;1 275;1;25500
83389;lubelskie;LBW;1574;1 osoba;CEIDG;2020-09-15;2020-10-08;ma stronê www;95;NIE;510;0;25482
26269;warmiñsko-mazurskie;OLW;755;2-5 osób;KRS;2010-01-27;2020-03-12;ma stronê www;89;TAK;1 270;1;25390
35016;dolnoœl¹skie;WRW;652;;CEIDG;2008-10-16;2020-03-02;e-commerce;91;NIE;1 268;0;25358
13047;mazowieckie;WAW;411;2-5 osób;CEIDG;2000-01-01;2019-08-05;ma stronê www;82;NIE;1 268;0;25352
41397;zachodniopomorskie;SZW;1433;21-50 osób;CEIDG;2007-05-01;2019-05-21;nie ma strony www;;NIE;;0;25350
11559;mazowieckie;GRW;5;1 osoba;CEIDG;2001-12-03;2020-10-19;ma stronê www;85;NIE;506;1;25299,2
65529;ma³opolskie;KRW;1387;51-100 osób;KRS;2017-11-03;2020-05-29;ma stronê www;83;NIE;1 264;1;25276
77126;dolnoœl¹skie;WRW;755;;CEIDG;2019-02-13;2019-01-18;ma stronê www;71;NIE;1 262;0;25248
20463;œl¹skie;KTW;755;101-250 osób;KRS;2001-06-15;2019-07-31;ma stronê www;90;NIE;1 260;0;25200
62411;ma³opolskie;KRW;968;21-50 osób;CEIDG;2017-05-15;2019-11-27;ma stronê www;82;NIE;1 260;0;25200
53534;podkarpackie;RZW;1387;;CEIDG;2016-08-10;2018-03-22;ma stronê www;76;NIE;1 253;1;25056
23485;mazowieckie;LNW;1386;2-5 osób;CEIDG;2007-11-01;2019-10-09;ma stronê www;72;NIE;1 251;0;25020
55218;mazowieckie;WAW;1171;;CEIDG;2012-01-01;2020-10-12;ma stronê www;90;NIE;1 251;0;25020
18060;³ódzkie;LDW;10001;11-20 osób;CEIDG;1990-11-20;2020-05-20;e-commerce;81;TAK;1 250;0;25000
77885;dolnoœl¹skie;WRW;411;;CEIDG;2019-03-14;2019-05-31;ma stronê www;72;NIE;1 249;1;24984
72501;zachodniopomorskie;SZW;652;;CEIDG;2001-03-01;2019-08-12;ma stronê www;75;NIE;1 240;0;24804
25439;wielkopolskie;LSW;10001;51-100 osób;KRS;2009-03-05;2018-06-06;ma stronê www;83;NIE;1 240;0;24800
30481;kujawsko-pomorskie;TOW;907;;CEIDG;2006-03-01;2020-07-07;ma stronê www;75;NIE;1 240;0;24800
59732;dolnoœl¹skie;WRW;10001;;CEIDG;2015-08-01;2020-05-22;ma stronê www;83;NIE;1 239;0;24780
78609;dolnoœl¹skie;WRW;1386;;KRS;1970-01-01;2020-07-28;ma stronê www;91;NIE;1 239;1;24778
8457;kujawsko-pomorskie;TOW;848;101-250 osób;KRS;1996-12-18;2019-10-31;ma stronê www;94;NIE;2 471;1;24710
32770;wielkopolskie;KNW;755;1 osoba;CEIDG;2006-01-10;2019-09-10;ma stronê www;78;NIE;493;0;24660
28718;opolskie;OPW;5;1 osoba;CEIDG;2010-03-10;2020-02-21;ma stronê www;75;NIE;488;0;24420
48973;dolnoœl¹skie;WRW;522;;CEIDG;2014-06-02;2020-07-17;e-commerce;82;TAK;1 216;0;24320
60979;œl¹skie;KTW;1433;2-5 osób;CEIDG;2008-04-03;2020-07-31;ma stronê www;91;NIE;1 215;0;24300
30044;dolnoœl¹skie;WRW;98;2-5 osób;KRS;2007-01-01;2020-08-10;ma stronê www;88;TAK;1 207;1;24140
72180;pomorskie;GDW;1387;51-100 osób;KRS;2018-09-03;2019-08-29;ma stronê www;81;NIE;1 206;0;24120
82743;wielkopolskie;POW;1433;;KRS;2020-06-08;2020-06-08;ma stronê www;88;NIE;1 200;0;24000
43808;mazowieckie;WAW;10001;1 osoba;KRS;2015-03-11;2019-04-03;ma stronê www;99;NIE;480;1;24000
41459;mazowieckie;GAW;1433;51-100 osób;KRS;2012-12-21;2018-06-12;e-commerce;91;NIE;1 200;1;24000
48939;mazowieckie;PAW;1387;;CEIDG;2014-12-01;2020-01-17;ma stronê www;73;NIE;1 200;1;24000
79192;dolnoœl¹skie;WRW;1387;21-50 osób;CEIDG;2019-06-03;2020-08-31;ma stronê www;93;NIE;1 200;0;24000
6156;dolnoœl¹skie;LGW;652;2-5 osób;CEIDG;1992-12-01;2020-04-24;ma stronê www;79;TAK;1 197;1;23940
38870;ma³opolskie;KRW;755;;CEIDG;2009-11-01;2018-08-30;ma stronê www;87;NIE;1 194;1;23880
63491;œl¹skie;KTW;10001;101-250 osób;KRS;2017-04-26;2020-07-07;ma stronê www;80;NIE;1 194;1;23880
53557;zachodniopomorskie;SZW;98;51-100 osób;CEIDG;2016-08-05;2020-06-19;e-commerce;81;NIE;1 194;1;23880
80198;pomorskie;SLW;5;;CEIDG;2019-08-19;2020-09-16;ma stronê www;89;NIE;1 193;0;23868
21845;dolnoœl¹skie;WRW;10001;1 osoba;CEIDG;2006-07-24;2020-08-10;ma stronê www;84;NIE;477;0;23830
14612;wielkopolskie;KLW;652;6-10 osób;CEIDG;2000-09-22;2020-06-22;ma stronê www;79;NIE;1 190;1;23796
73818;opolskie;OPW;755;;CEIDG;2013-05-08;2018-03-07;ma stronê www;72;NIE;1 181;1;23616
48097;zachodniopomorskie;SZW;1171;;CEIDG;2015-08-03;2020-02-13;ma stronê www;71;NIE;1 179;0;23584
73056;pomorskie;GDW;848;6-10 osób;KRS;2018-03-16;2020-09-30;ma stronê www;98;NIE;1 175;0;23500
43042;mazowieckie;WAW;968;;CEIDG;2015-06-02;2020-08-26;ma stronê www;78;NIE;1 170;1;23400
20271;ma³opolskie;TRW;1433;6-10 osób;CEIDG;2008-07-09;2020-06-18;ma stronê www;100;TAK;1 169;0;23380
